distancia_final,Place of interest,Place address,Type of place,BiciMAD station,Station location
166.42977302657792,Iglesia Ejército de Salvación Madrid Central,CALLE HERMOSILLA 126 Local 4,Templos no católicos,183 - Doctor Esquerdo-Hermosilla,Calle Hermosilla nº 135
1466.798256847688,Iglesia Ejército de Salvación Palomeras,AVENIDA RAFAEL ALBERTI 18 bis,Templos no católicos,221 - Pavones,Calle Hacienda de Pavones nº 342
29.476285603327792,Iglesia El Buen Pastor de Vallecas,CAMINO VALDERRIBAS 96 Nave,Templos no católicos,226 - Sierra Toledana,Camino de Valderribas nº 94
2651.828620578991,Iglesia Elan,CALLE EZCARAY 20 PLANTA 2 C,Templos no católicos,221 - Pavones,Calle Hacienda de Pavones nº 342
255.11647962608023,Iglesia Esclavas del Sagrado Corazón de Jesús,PASEO GENERAL MARTINEZ CAMPOS 10,Templos católicos,246 - Santa Engracia 87,Calle Santa Engracia nº 87
219.25322425355793,Iglesia Evangelio Cuadrangular Vida Nueva Usera,CALLE MONEDEROS 22,Templos no católicos,213 - Glorieta de Cádiz,Calle Antonio López nº 129
2570.753850440281,Iglesia Evangélica Agua de Vida Vaguada,CALLE PUERTO DE MASPALOMAS 22 Posterior,Templos no católicos,207 - Remonta,Calle Azucenas nº 1
271.41811339221937,Iglesia Evangélica Asociación Centros Tahor,CALLE TERUEL 25,Templos no católicos,152 - General Perón 1,Avenida del General Perón frente al nº 4
2604.6713071398735,Iglesia Evangélica Asociación Club Metas,AVENIDA GRAN VIA DE HORTALEZA 30,Templos no católicos,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32
3406.7661894127473,Iglesia Evangélica Asociación Evangelización Mundial para Cristo,AVENIDA CANILLEJAS A VICALVARO 131,Templos no católicos,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
2277.7442457795587,Iglesia Evangélica Avivamiento Emmanuel España,CALLE ALVAREZ ABELLAN 17,Templos no católicos,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
